School Name,Udise Code,State,District,Block,Cluster,Village,PINCODE,School Category,School Type,Class To,Class From,State Management,National Management,Location,Blank,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,Total 1-12,Total with primary,XXXX,Teacher,pta nhi
GPS KALAS KALAN,03090608101,Punjab,LUDHIANA,MANGAT-3,GPS KOOM KALAN,KALAS KALAN,141126,1-Primary,3-Co-educational,1,5,1-Department of Education,1-Department of Education,,1-Rural,10,3,8,5,4,0,0,0,0,0,0,0,30,42,3,1,1
GPS KAROR,03090608401,Punjab,LUDHIANA,MANGAT-3,GPS KOOM KALAN,KAROR,141126,1-Primary,3-Co-educational,1,5,1-Department of Education,1-Department of Education,,1-Rural,7,9,4,0,3,0,0,0,0,0,0,0,23,41,9,1,1
GPS KISHANPURA,03090609001,Punjab,LUDHIANA,MANGAT-3,GPS KOOM KALAN,KISHANPURA,141126,1-Primary,3-Co-educational,1,5,1-Department of Education,1-Department of Education,,1-Rural,8,9,3,4,9,0,0,0,0,0,0,0,33,52,9,1,1
GPS PANJETA,03090611801,Punjab,LUDHIANA,MACHHIWARA-2,GPS PANJETA,PANJETA,141126,1-Primary,3-Co-educational,1,5,1-Department of Education,1-Department of Education,,1-Rural,18,18,18,15,12,0,0,0,0,0,0,0,81,104,18,1,1
GMS PANJETA,03090611802,Punjab,LUDHIANA,MACHHIWARA-2,GPS PANJETA,PANJETA,141126,4-Upper Primary only,3-Co-educational,6,8,1-Department of Education,1-Department of Education,,1-Rural,0,0,0,0,0,31,35,23,0,0,0,0,89,89,0,3,3
GPS PARTAPGARH,03090612001,Punjab,LUDHIANA,MACHHIWARA-2,GPS RAYIAAN,PARTAAP GARH,141126,1-Primary,3-Co-educational,1,5,1-Department of Education,1-Department of Education,,1-Rural,21,9,27,17,9,0,0,0,0,0,0,0,83,142,9,1,1
GMS PARTAPGARH,03090612002,Punjab,LUDHIANA,MACHHIWARA-2,GPS RAYIAAN,PARTAAP GARH,141126,4-Upper Primary only,3-Co-educational,6,8,1-Department of Education,1-Department of Education,,1-Rural,0,0,0,0,0,18,23,17,0,0,0,0,58,58,0,1,1
GURU GOBIND SINGH SEN. SEC. SCHOOL,03090612003,Punjab,LUDHIANA,MACHHIWARA-2,GPS RAYIAAN,PARTAAP GARH,141126,3-Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1,12,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,1-Rural,14,3,4,4,2,0,4,1,6,8,6,14,66,90,3,13,13
GPS PRITHIPUR,03090612101,Punjab,LUDHIANA,MACHHIWARA-2,GPS PANJETA,PRITHIPUR,141126,1-Primary,3-Co-educational,1,5,1-Department of Education,1-Department of Education,,1-Rural,5,3,2,1,5,0,0,0,0,0,0,0,16,26,3,1,1
"SATYA BHARTI SCHOOL, PRITHIPUR",03090612102,Punjab,LUDHIANA,MACHHIWARA-2,GPS PANJETA,PRITHIPUR,141126,1-Primary,3-Co-educational,1,5,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,1-Rural,32,41,36,37,33,0,0,0,0,0,0,0,179,212,41,6,6
GPS RAIPUR BET,03090612301,Punjab,LUDHIANA,MACHHIWARA-2,GPS PANJETA,RAIPUR BET,141126,1-Primary,3-Co-educational,1,5,1-Department of Education,1-Department of Education,,1-Rural,15,9,10,9,10,0,0,0,0,0,0,0,53,72,9,1,1
GPS RAJOOR,03090612601,Punjab,LUDHIANA,MACHHIWARA-2,GPS PANJETA,RAJOOR,141126,1-Primary,3-Co-educational,1,5,1-Department of Education,1-Department of Education,,1-Rural,3,2,4,2,5,0,0,0,0,0,0,0,16,23,2,1,1
"SATYA BHARTI SCHOOL , SATIANA",03090618501,Punjab,LUDHIANA,MANGAT-3,GPS CHONTA,Satiana,141126,1-Primary,3-Co-educational,1,5,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,1-Rural,18,33,31,34,29,0,0,0,0,0,0,0,145,168,33,6,6
GPS GAHLEWAL,03090711401,Punjab,LUDHIANA,MANGAT-3,GPS KOOM KALAN,GAHLEWAL,141126,1-Primary,3-Co-educational,1,5,1-Department of Education,1-Department of Education,,1-Rural,4,1,2,4,1,0,0,0,0,0,0,0,12,26,1,1,1
GPS BALIEWAL,03090600801,Punjab,LUDHIANA,MANGAT-3,GPS KOOM KALAN,BALIEWAL,141127,1-Primary,3-Co-educational,1,5,1-Department of Education,1-Department of Education,,1-Rural,13,12,25,22,29,0,0,0,0,0,0,0,101,138,12,2,2
"SATYA BHARTI ELEMENTARY SCHOOL, BALIEWAL",03090600802,Punjab,LUDHIANA,MANGAT-3,GPS KOOM KALAN,BALIEWAL,141127,2-Primary with Upper Primary,3-Co-educational,1,8,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,1-Rural,25,32,31,29,27,24,20,25,0,0,0,0,213,239,32,8,8
"SATYA BHARTI ELEMENTARY SCHOOL, KHANPUR",03090600803,Punjab,LUDHIANA,MANGAT-3,GPS CHONTA,BALIEWAL,141127,2-Primary with Upper Primary,3-Co-educational,1,8,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,1-Rural,23,28,29,29,28,29,36,33,0,0,0,0,235,257,28,9,9
GMS BOOTHGARH JATTAN,03090603202,Punjab,LUDHIANA,MANGAT-3,GPS KOOM KALAN,BOOTHGARH JATTAN,141127,4-Upper Primary only,3-Co-educational,6,8,1-Department of Education,1-Department of Education,,1-Rural,0,0,0,0,0,28,19,25,0,0,0,0,72,72,0,1,1
GPS BOOTHGARH JATTAN,03090603301,Punjab,LUDHIANA,MANGAT-3,GPS KOOM KALAN,BOOTHGARH JATTAN,141127,1-Primary,3-Co-educational,1,5,1-Department of Education,1-Department of Education,,1-Rural,5,3,3,2,2,0,0,0,0,0,0,0,15,27,3,1,1
GPS CHONTA,03090604501,Punjab,LUDHIANA,MANGAT-3,GPS CHONTA,CHONTA,141127,1-Primary,3-Co-educational,1,5,1-Department of Education,1-Department of Education,,1-Rural,15,8,14,14,20,0,0,0,0,0,0,0,71,107,8,2,2
